	опыт работы	регион	пол	возраст	образование	вуз	язык	занятость	желаемая з/п	Последнее место работы
102	16 лет	Санкт-Петербург	Мужчина	36 лет	Высшее образование	Ухтинский государственный технический университет	Английский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость	25 000 ₽ на руки	Июнь 2009 — по настоящее время15 лет
103	8 лет	Владимир	Мужчина	32 года	Высшее образование (Магистр)	Владимирский государственный университет им. А.Г. и Н.Г. Столетовых, Владимир	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	20 000 ₽ на руки	Октябрь 2015 — по настоящее время8 лет 8 месяцев
104	16 лет	Королев	Мужчина	40 лет	Высшее образование	МГТУ Баумана -- Московский государственный технический университет им. Н.Э. Баумана	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Июль 2007 — по настоящее время16 лет 11 месяцев
105	17 лет	Абакан	Мужчина	42 года	Высшее образование	"ЧОУ ДПО ""1С-Образование"""	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	80 000 ₽ на руки	Июль 2018 — по настоящее время5 лет 11 месяцев
106	2 года	Новочеркасск	Мужчина	24 года	Высшее образование	"ФГАОУ ВО ""Севастопольский Государственный Университет"""	Русский — Родной Английский — A2 — Элементарный Украинский — C2 — В совершенстве	Занятость: полная занятость	80 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
107	13 лет	Москва	Мужчина	54 года	Образование		Русский — Родной	Занятость: полная занятость	60 000 ₽ на руки	Июнь 2015 — по настоящее время9 лет
108	16 лет	Волгоград	Женщина	39 лет	Высшее образование	Волжский Политехнический Институт (филиал ВолгГТУ)	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	18 000 ₽ на руки	Июль 2007 — по настоящее время16 лет 11 месяцев
109	10 лет	Тверь	Мужчина	68 лет	Высшее образование	Московский институт электронной техники, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	80 000 ₽ на руки	Апрель 2014 — по настоящее время10 лет 2 месяца
110	1 год	Санкт-Петербург	Мужчина	22 года	Высшее образование (Магистр)	НИУ ИТМО, Санкт-Петербург	Русский — Родной Азербайджанский — B2 — Средне-продвинутый Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	80 000 ₽ на руки	Май 2022 — Июнь 20231 год 2 месяца
111	1 год	Москва	Мужчина	56 лет	Высшее образование	Омский государственный технический университет, Омск	Русский — Родной	Занятость: частичная занятость, проектная работа, стажировка	40 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
112	22 года	Омск	Женщина		Высшее образование	Омский государственный университет им. Ф.М. Достоевского, Омск	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	160 000 ₽ на руки	Ноябрь 2013 — по настоящее время10 лет 7 месяцев
113	22 года	Санкт-Петербург	Мужчина	55 лет	Высшее образование	МГТУ Баумана -- Московский государственный технический университет им. Н.Э. Баумана	Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	80 000 ₽ на руки	Июль 2020 — по настоящее время3 года 11 месяцев
114	6 лет	Санкт-Петербург	Мужчина	26 лет	Высшее образование (Бакалавр)	Санкт-Петербургский государственный политехнический университет, Санкт-Петербург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	30 000 ₽ на руки	Февраль 2018 — по настоящее время6 лет 4 месяца
115	11 лет	Красноярск	Женщина		Высшее образование	Сибирский государственный технологический университет	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	25 000 ₽ на руки	Март 2013 — по настоящее время11 лет 3 месяца
116	18 лет	Феодосия	Мужчина	46 лет	Среднее образование	Средняя школа номер 14	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	2 300 $ на руки	Апрель 2006 — по настоящее время18 лет 2 месяца
117	9 лет	Барнаул	Мужчина	33 года	Высшее образование	Алтайский государственный технический университет им. И.И. Ползунова, Барнаул	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Август 2014 — по настоящее время9 лет 10 месяцев
118	1 год	Махачкала	Мужчина		Среднее специальное образование	ДГУНХ	Русский — Родной	Занятость: полная занятость	90 000 ₽ на руки	Апрель 2023 — по настоящее время1 год 2 месяца
119	13 лет	Москва	Женщина	35 лет	Высшее образование	Национальный исследовательский Томский государственный университет, Томск	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	130 000 ₽ на руки	Декабрь 2014 — по настоящее время9 лет 6 месяцев
120	19 лет	Москва	Мужчина	39 лет	Высшее образование	МГУ им. М.В.Ломоносова	Английский — B2 — Средне-продвинутый	Занятость: проектная работа	50 000 ₽ на руки	Октябрь 2009 — по настоящее время14 лет 8 месяцев
121	30 лет	Сургут	Мужчина	48 лет	Высшее образование	Российская академия народного хозяйства и государственной службы при Президенте РФ, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	150 000 ₽ на руки	Февраль 2012 — по настоящее время12 лет 4 месяца
122	17 лет	Смоленск	Мужчина	37 лет	Среднее специальное образование	Смоленский техникум электронных приборов	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Май 2007 — по настоящее время17 лет 1 месяц
123	6 лет	Балашиха	Мужчина	27 лет	Высшее образование (Магистр)	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Октябрь 2018 — по настоящее время5 лет 8 месяцев
124	9 лет	Чебоксары	Мужчина		Неоконченное высшее образование	Межрегиональный центр компетенций – Чебоксарский электромеханический колледж	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	50 000 ₽ на руки	Январь 2015 — по настоящее время9 лет 5 месяцев
125	11 лет	Красноярск	Мужчина	34 года	Высшее образование	ИКИТ СФУ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	74 400 ₽ на руки	Май 2018 — по настоящее время6 лет 1 месяц
126	20 лет	Москва	Женщина	42 года	Высшее образование	Московский инженерно-физический институт МИФИ (государственный  университет).	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Февраль 2012 — по настоящее время12 лет 4 месяца
127	16 лет	Москва	Мужчина	36 лет	Высшее образование	Московский университет им. С.Ю. Витте, Москва	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Октябрь 2011 — по настоящее время12 лет 8 месяцев
128	10 лет	Новосибирск	Мужчина	37 лет	Высшее образование	Новосибирский государственный университет экономики и управления, Новосибирск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, проектная работа	60 000 ₽ на руки	Август 2013 — по настоящее время10 лет 10 месяцев
129	26 лет	Красноярск	Мужчина	62 года	Высшее образование	Сибирский федеральный университет, Красноярск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	80 000 ₽ на руки	Декабрь 2020 — по настоящее время3 года 6 месяцев
130	5 лет	Екатеринбург	Мужчина	22 года	Образование		Русский — Родной	Занятость: частичная занятость, проектная работа, стажировка	25 000 ₽ на руки	Июль 2019 — по настоящее время4 года 11 месяцев
131	11 лет	Тамбов	Мужчина	32 года	Высшее образование	Тамбовский Государственный технический Университет	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	200 000 ₽ на руки	Июнь 2014 — по настоящее время10 лет
132	16 лет	Ставрополь	Мужчина	36 лет	Высшее образование	Северо-Кавказская государственная гуманитарно-технологическая академия, Черкесск	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	230 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
133	8 лет	Москва	Мужчина	28 лет	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость	30 000 ₽ на руки	Апрель 2016 — по настоящее время8 лет 2 месяца
134	18 лет	Стерлитамак	Мужчина	42 года	Среднее специальное образование	СПК г.Стерлитамак	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	30 000 ₽ на руки	Январь 2011 — по настоящее время13 лет 5 месяцев
135	16 лет	Санкт-Петербург	Мужчина	35 лет	Высшее образование	УлГТУ (Ульяновский государственный технический университет)	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	40 000 ₽ на руки	Январь 2008 — по настоящее время16 лет 5 месяцев
136	17 лет	Пермь	Мужчина	70 лет	Высшее образование	ПГУ	Русский — Родной Английский — B2 — Средне-продвинутый Испанский — A1 — Начальный Немецкий — A1 — Начальный Польский — A1 — Начальный Французский — A1 — Начальный	Занятость: частичная занятость	90 000 ₽ на руки	Январь 2007 — по настоящее время17 лет 5 месяцев
137	17 лет	Москва	Мужчина	35 лет	Высшее образование	Московский Государственный гуманитарный экономический институт, Москва	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	170 000 ₽ на руки	Январь 2014 — по настоящее время10 лет 5 месяцев
138	11 лет	Норильск	Мужчина	34 года	Высшее образование	Норильский индустриальный институт, Норильск	Русский — Родной Английский — C2 — В совершенстве	Занятость: полная занятость	85 000 ₽ на руки	Сентябрь 2012 — по настоящее время11 лет 9 месяцев
139	17 лет	Саранск	Мужчина	44 года	Высшее образование	МГУ им. Огарева	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Август 2012 — по настоящее время11 лет 10 месяцев
140	11 лет	Нижний Новгород	Мужчина	32 года	Неоконченное высшее образование	Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	25 000 ₽ на руки	Июнь 2013 — по настоящее время11 лет
141	9 лет	Череповец	Мужчина	31 год	Неоконченное высшее образование	Санкт-Петербургский государственный университет промышленных технологий и дизайна, Санкт-Петербург	Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость	120 000 ₽ на руки	Ноябрь 2021 — по настоящее время2 года 7 месяцев
142	7 лет	Набережные Челны	Мужчина	25 лет	Высшее образование (Бакалавр)	Филиал Казанского (Приволжского) федерального университета, Набережные Челны	Татарский — Родной Английский — C1 — Продвинутый Немецкий — A1 — Начальный Русский — C2 — В совершенстве Турецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	20 000 ₽ на руки	Ноябрь 2017 — по настоящее время6 лет 7 месяцев
143	14 лет	Москва	Мужчина	40 лет	Неоконченное высшее образование	Томский государственный университет систем управления и радиоэлектроники, Томск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, проектная работа	140 000 ₽ на руки	Январь 2010 — по настоящее время14 лет 5 месяцев
144	22 года	Донецк (Ростовская область)	Мужчина	46 лет	Высшее образование	Институт управления, бизнеса и права, Ростов-на-Дону	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	25 000 ₽ на руки	Январь 2002 — по настоящее время22 года 5 месяцев
145	37 лет	Тольятти	Мужчина	63 года	Высшее образование	Московский физико-технический институт (Государственный университет)	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость	250 000 ₽ на руки	Май 2019 — по настоящее время5 лет 1 месяц
146	1 год	Москва	Мужчина	45 лет	Среднее специальное образование	ПТУ-63 г.Москва	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	12 000 ₽ на руки	Март 2007 — Июнь 20081 год 4 месяца
147	8 лет	Нижний Новгород	Мужчина	33 года	Высшее образование (Бакалавр)	Ереванский государственный университет	Армянский — Родной Английский — B1 — Средний Русский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость, проектная работа	150 000 ₽ на руки	Сентябрь 2016 — по настоящее время7 лет 9 месяцев
148	13 лет	Калининград	Мужчина	35 лет	Высшее образование	Балтийская госакадемия РФ	Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — C1 — Продвинутый	Занятость: полная занятость	55 000 ₽ на руки	Апрель 2012 — по настоящее время12 лет 2 месяца
149	9 лет	Новомосковск (Тульская область)	Мужчина		Высшее образование	Тульский государственный университет, Тула	Русский — Родной	Занятость: полная занятость	50 000 ₽ на руки	Январь 2019 — по настоящее время5 лет 5 месяцев
150	26 лет	Москва	Мужчина	47 лет	Высшее образование	Московский Государственный Открытый университет	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Сентябрь 2008 — по настоящее время15 лет 9 месяцев
151	36 лет	Москва	Мужчина	63 года	Высшее образование	Московский институт электронного машиностроения	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	100 000 ₽ на руки	Декабрь 2014 — по настоящее время9 лет 6 месяцев
152	20 лет	Орел	Мужчина	45 лет	Высшее образование	Государственный университет - учебно-научно-производственный комплекс (ОрелГТУ), Орел	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	60 000 ₽ на руки	Январь 2008 — по настоящее время16 лет 5 месяцев
153	12 лет	Кстово	Мужчина	44 года	Среднее специальное образование	Представительство Нижегородского государственного педагогического университета им. Козьмы Минина (Мининский университет), Кстово	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	50 000 ₽ на руки	Январь 2012 — по настоящее время12 лет 5 месяцев
154	17 лет	Красноярск	Мужчина	37 лет	Высшее образование	Сибирский Государственный Аэрокосмический Университет	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	29 000 ₽ на руки	Август 2007 — по настоящее время16 лет 10 месяцев
155	17 лет	Магнитогорск	Мужчина	40 лет	Высшее образование	South Ural State University (National Research University), Chelyabinsk	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Октябрь 2013 — по настоящее время10 лет 8 месяцев
156	13 лет	Москва	Мужчина	32 года	Образование		Русский — Родной	Занятость: частичная занятость, проектная работа	35 000 ₽ на руки	Июнь 2011 — по настоящее время13 лет
157	23 года	Брянск	Мужчина	45 лет	Высшее образование	Брянский государственный университет им. И.Г. Петровского, Брянск	Русский — Родной	Занятость: полная занятость	70 000 ₽ на руки	Январь 2001 — по настоящее время23 года 5 месяцев
158	8 лет	Рязань	Мужчина	26 лет	Образование		Русский — Родной Английский — B2 — Средне-продвинутый Украинский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость	150 000 ₽ на руки	Февраль 2022 — по настоящее время2 года 4 месяца
159	8 лет	Ангарск	Мужчина	32 года	Высшее образование	Национальный исследовательский Иркутский государственный технический университет, Иркутск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	80 000 ₽ на руки	Ноябрь 2015 — по настоящее время8 лет 7 месяцев
160	18 лет	Орел	Женщина	40 лет	Высшее образование	ОГТУ	Русский — Родной	Занятость: полная занятость	20 000 ₽ на руки	Апрель 2006 — по настоящее время18 лет 2 месяца
161	4 года	Сарапул	Мужчина	26 лет	Среднее специальное образование	СПК	Русский — Родной Английский — B2 — Средне-продвинутый Французский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	250 000 ₽ на руки	Февраль 2023 — Апрель 20241 год 3 месяца
162	26 лет	Королев	Мужчина	53 года	Высшее образование	Ленинградское высшее военное инженерное строительное училище имени генерала А. Н. Комаровского	Английский — A1 — Начальный	Занятость: полная занятость	85 000 ₽ на руки	Ноябрь 2013 — по настоящее время10 лет 7 месяцев
163	17 лет	Москва	Мужчина	37 лет	Высшее образование	Таганрогский Технологический Институт Южного Федерального Университета	Русский — Родной Английский — A1 — Начальный	Занятость: частичная занятость, проектная работа	120 000 ₽ на руки	Ноябрь 2011 — по настоящее время12 лет 7 месяцев
164	16 лет	Краснодар	Мужчина	33 года	Высшее образование	Кубанский государственный университет физической культуры, спорта и туризма (Кубанская государственная академия физической культуры), Краснодар	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	140 000 ₽ на руки	Январь 2008 — по настоящее время16 лет 5 месяцев
165	18 лет	Липецк	Мужчина	36 лет	Высшее образование (Бакалавр)	Липецкий эколого-гуманитарный институт, Липецк	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	1 000 € на руки	Январь 2018 — по настоящее время6 лет 5 месяцев
166	3 года	Москва	Мужчина		Неоконченное высшее образование	Московский государственный технический университет радиотехники, электроники и автоматики, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	60 000 ₽ на руки	Июнь 2021 — по настоящее время3 года
167	14 лет	Саранск	Мужчина	49 лет	Высшее образование	Мордовский национальный исследовательский государственный университет им. Н.П. Огарева, Саранск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Октябрь 2009 — по настоящее время14 лет 8 месяцев
168	3 года	Жуковский	Мужчина	61 год	Высшее образование	Ереванский гос. университет	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, стажировка	80 000 ₽ на руки	Сентябрь 1991 — Январь 19953 года 5 месяцев
169	9 лет	Москва	Мужчина	32 года	Высшее образование	Московский государственный университет приборостроения и информатики, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	350 000 ₽ на руки	Август 2016 — по настоящее время7 лет 10 месяцев
170	5 лет	Барнаул	Мужчина	29 лет	Среднее специальное образование	Аксуский колледж им. Жаяу Мусы	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	200 000 ₽ на руки	Сентябрь 2023 — по настоящее время9 месяцев
171	11 лет	Москва	Мужчина	31 год	Неоконченное высшее образование	Российский университет дружбы народов	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, стажировка	65 000 ₽ на руки	Январь 2013 — по настоящее время11 лет 5 месяцев
172	22 года	Подольск (Московская область)	Мужчина	62 года	Высшее образование	ХИРЭ (Харьковский институт радиоэлектроники)	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость	110 000 ₽ на руки	Август 2009 — по настоящее время14 лет 10 месяцев
173	20 лет	Чехов	Мужчина	55 лет	Неоконченное высшее образование	Московский государственный технический университет радиотехники, электроники и автоматики, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	160 000 ₽ на руки	Май 2005 — по настоящее время19 лет 1 месяц
174	13 лет	Пермь	Мужчина	36 лет	Высшее образование	Пермский национальный исследовательский политехнический университет, Пермь	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	150 000 ₽ на руки	Апрель 2022 — по настоящее время2 года 2 месяца
175	22 года	Москва	Мужчина	44 года	Высшее образование	МГАПИ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Сентябрь 2012 — по настоящее время11 лет 9 месяцев
176	19 лет	Екатеринбург	Мужчина	39 лет	Высшее образование	Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Май 2005 — по настоящее время19 лет 1 месяц
177	24 года	Екатеринбург	Мужчина	46 лет	Среднее специальное образование	ЕРТТ им. А.С. Попова	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	230 000 ₽ на руки	Август 2012 — по настоящее время11 лет 10 месяцев
178	17 лет	Пермь	Мужчина	43 года	Неоконченное высшее образование	Пермский государственный университет, Пермь	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	350 000 ₽ на руки	Январь 2020 — по настоящее время4 года 5 месяцев
179	19 лет	Ижевск	Мужчина	38 лет	Высшее образование	Ижевский государственный технический университет им. М.Т. Калашникова, Ижевск	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость	200 000 ₽ на руки	Март 2022 — по настоящее время2 года 3 месяца
180	13 лет	Москва	Мужчина	52 года	Высшее образование	Иркутский политехнический институт, Иркутск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	300 000 ₽ на руки	Декабрь 2021 — по настоящее время2 года 6 месяцев
181	9 лет	Уфа	Мужчина	31 год	Неоконченное высшее образование	Уфимский государственный авиационный технический университет, Уфа	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	40 000 ₽ на руки	Февраль 2015 — по настоящее время9 лет 4 месяца
182	20 лет	Самара	Мужчина	41 год	Высшее образование	Самарская государственная академия путей сообщения	Русский — Родной	Занятость: полная занятость, проектная работа	127 800 ₽ на руки	Сентябрь 2019 — по настоящее время4 года 9 месяцев
183	35 лет	Щербинка	Мужчина	58 лет	Высшее образование	МИФИ -- Московский инженерно-физический институт	Русский — Родной Английский — B1 — Средний Французский — A2 — Элементарный	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Октябрь 2016 — по настоящее время7 лет 8 месяцев
184	9 лет	Екатеринбург	Мужчина	31 год	Неоконченное высшее образование	Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	2 500 $ на руки	Сентябрь 2014 — по настоящее время9 лет 9 месяцев
185	19 лет	Санкт-Петербург	Мужчина	41 год	Высшее образование	СПбГПУ	Английский — C2 — В совершенстве	Занятость: полная занятость	45 000 ₽ на руки	Декабрь 2007 — по настоящее время16 лет 6 месяцев
186	2 года	Казань	Мужчина	24 года	Высшее образование (Бакалавр)	Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	60 000 ₽ на руки	Декабрь 2021 — по настоящее время2 года 6 месяцев
187	10 лет	Москва	Мужчина		Высшее образование	Нету	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа	250 000 ₽ на руки	Апрель 2014 — по настоящее время10 лет 2 месяца
188	2 года	Барнаул	Мужчина	35 лет	Высшее образование	Кузбасский государственный технический университет им. Т.Ф. Горбачева, Прокопьевск	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка	30 000 ₽ на руки	Ноябрь 2021 — по настоящее время2 года 7 месяцев
189	4 года	Москва	Мужчина	39 лет	Высшее образование	МГИМО	Русский — Родной Английский — B1 — Средний	Занятость: частичная занятость	72 000 ₽ на руки	Октябрь 2019 — по настоящее время4 года 8 месяцев
190	23 года	Москва	Мужчина	53 года	Высшее образование	МИЭМ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	250 000 ₽ на руки	Ноябрь 2013 — по настоящее время10 лет 7 месяцев
191	12 лет	Ростов-на-Дону	Мужчина	32 года	Высшее образование (Бакалавр)	Южный федеральный университет, Ростов-на-Дону	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость, проектная работа	120 000 ₽ на руки	Март 2022 — по настоящее время2 года 3 месяца
192	13 лет	Москва	Мужчина	32 года	Высшее образование	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — C2 — В совершенстве	Занятость: полная занятость, проектная работа	105 000 ₽ на руки	Июнь 2016 — по настоящее время8 лет
193	3 года	Москва	Мужчина	22 года	Высшее образование	Московский институт технологий и управления	Русский — Родной Английский — B2 — Средне-продвинутый Сербский — A1 — Начальный	Занятость: полная занятость	160 000 ₽ на руки	Июль 2023 — по настоящее время11 месяцев
